  01/01/1917,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  01/01/1917,,,47.6,-122.3,             seattle wash,                  seattle,,,
  02/01/1917,,,,,,,,,
  02/01/1917,,,47.6,-122.3,             seattle wash,                  seattle,,,
  03/01/1917,,,,,,,,,
  03/01/1917,,,47.6,-122.3,             seattle wash,                  seattle,,,
  04/01/1917,,,56.3,-132.7,came to an anchorage in lie of whidbey island,              round point,whidbey island,48.136389N,122.5825W
  04/01/1917,,,34.7,-167.4, off partridge point wash,              wedge point,point partridge,48 13 29N,122 46 13W
  05/01/1917,,,12.3,120.4,burrows island light close aboard standing various courses up rosario strait washington sound and georgia strait,              rose island,burrows island light,48 28 41N,122 42 49W
  05/01/1917,,,49.4,-83.7,           english bay bc,             english bank,english bay vancouver,49 17 00N,123 09 15W
  06/01/1917,,,49.4,-135.8,ballenas island light house bearing sw78s distant 15 miles,                     poti,ballenas island light,49 21 2N,124 9 36.8W
  06/01/1917,,,,,             union bay bc,,,,
  07/01/1917,,,,,,,,,
  07/01/1917,,,,,             union bay bc,,,,
  08/01/1917,,,,,,,,,
  08/01/1917,,,49.7,-124.9,             union bay bc,                cape lazo,union bay british columbia,49 35 05N,124 53 10W
  09/01/1917,,,50.2,-125.4,various courses up discovery passage and into duncan bay,        discovery passage,,,
  09/01/1917,,,,,            duncan bay bc,,,,
  10/01/1917,,,50.2,-125.4,various courses through johnstone passage,          seymour narrows,johnstone strait,50 28N,126 05W
  10/01/1917,,,30.8,117.7,              knox bay bc,                    muken,broughton strait,50 37 00N,127 03 00W
  11/01/1917,,,50.5,-126.1,various courses out of alert bay through broughton strait and by haddington island,         johnstone strait,broughton strait,,
  11/01/1917,,,43.1,-127.8,egg island light house  sexe  24 miles,               egg island,fitz hugh sound,51 40 00N,127 55 05W
  12/01/1917,,,43.1,16.7,egg island light house bearing ne14e standard compass distant 13 miles,                     hvar,fitz hugh sound,,
  12/01/1917,,,65.6,-168.8,           namu harbor bc,                     hvar,namu british columbia,51 52N,127 52W
  13/01/1916,,,47.7,-52.7,various courses up finlayson channel,                  tor bay,finlayson channel,52 38N,128 28W
  13/01/1916,,,53.2,-128.8,          fraser reach bc,             fraser reach,,,
  14/01/1917,,,53.7,-129.8,out of carter bay and into hiekish narrows,       greenville channel,mussel inlet,52 54N,128 07W
  14/01/1917,,,53.5,-129.6,            lowe inlet bc,               lowe inlet,grenville channel,53 37 00N,129 43 00W
