  01/01/1899,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  01/01/1899,,,,,                cavite pi,,,,
  02/01/1899,,,,,,,,,
  02/01/1899,,,,,                cavite pi,,,,
  03/01/1899,,,,,,,,,
  03/01/1899,,,14.6,121,at anchor off cavite and manila pi,                   manila,,,
  04/01/1899,,,,,,,,,
  04/01/1899,,,14.6,121,                manila pi,                   manila,,,
  05/01/1899,,,,,,,,,
  05/01/1899,,,14.6,121,  at anchor off manila pi,                   manila,,,
  06/01/1899,,,,,,,,,
  06/01/1899,,,14.6,121, at anchor off manilla pi,                   manila,,,
  07/01/1899,,,,,,,,,
  07/01/1899,,,14.6,121,  at anchor off manila pi,                   manila,,,
  08/01/1899,,,,,,,,,
  08/01/1899,,,14.6,121,  at anchor off manila pi,                   manila,,,
  09/01/1899,,,,,,,,,
  09/01/1899,,,14.6,121,  at anchor off manila pi,                   manila,,,
  10/01/1899,,,,,,,,,
  10/01/1899,,,14.6,121,  at anchor off manila pi,                   manila,,,
  11/01/1899,,,,,,,,,
  11/01/1899,,,14.6,121, at anchor off manilla pi,                   manila,,,
  12/01/1899,,,,,,,,,
  12/01/1899,,,14.5,120.8,at anchor off bitas bar manila bay pi,               manila bay,,,
  13/01/1899,,,,,,,,,
  13/01/1899,,,14.5,120.8,at anchor off bitas bar manila bay pi,               manila bay,,,
  14/01/1899,,,,,,,,,
  14/01/1899,,,14.6,121,anchored off bitas bar and manilla pi,                   manila,,,
  15/01/1899,,,,,,,,,
  15/01/1899,,,14.6,121,  at anchor off manila pi,                   manila,,,
  16/01/1899,,,,,,,,,
  16/01/1899,,,14.6,121, at anchor off manilla pi,                   manila,,,
  17/01/1899,,,,,,,,,
  17/01/1899,,,14.6,121,anchored off manilla  cacite pi,                   manila,,,
  18/01/1899,,,,,,,,,
  18/01/1899,,,,,  at anchor off cavite pi,,,,
  19/01/1899,,,,,,,,,
  19/01/1899,,,,,   anchored off cavite pi,,,,
  20/01/1899,,,,,,,,,
  20/01/1899,,,,,   anchored off cavite pi,,,,
  21/01/1899,,,,,,,,,
  21/01/1899,,,,,  at anchor off cavite pi,,,,
  22/01/1899,,,,,,,,,
  22/01/1899,,,,,  at anchor off cavite pi,,,,
  23/01/1899,,,,,,,,,
  23/01/1899,,,,,  at anchor off cavite pi,,,,
  24/01/1899,,,,,,,,,
  24/01/1899,,,,,   anchored off cavite pi,,,,
  25/01/1899,,,,,,,,,
  25/01/1899,,,,,   anchored off cavite pi,,,,
  26/01/1899,,,,,,,,,
  26/01/1899,,,,,   anchored off cavite pi,,,,
  27/01/1899,,,,,,,,,
  27/01/1899,,,,,   anchored off cavite pi,,,,
  28/01/1899,,,,,,,,,
  28/01/1899,,,,,   anchored off cavite pi,,,,
  29/01/1899,,,,,,,,,
  29/01/1899,,,,,   anchored off cavite pi,,,,
  30/01/1899,,,,,,,,,
  30/01/1899,,,,,   anchored off cavite pi,,,,
  31/01/1899,,,,,,,,,
  31/01/1899,,,,,   anchored off cavite pi,,,,
  01/02/1899,,,,,,,,,
  01/02/1899,,,,,   anchored off cavite pi,,,,
  02/02/1899,,,,,,,,,
  02/02/1899,,,,,   anchored off cavite pi,,,,
  03/02/1899,,,,,,,,,
  03/02/1899,,,,,  at anchor off cavite pi,,,,
  04/02/1899,,,,,,,,,
  04/02/1899,,,14.5,120.8,in manila bay off cavite and manila,               manila bay,,,
  05/02/1899,,,,,,,,,
  05/02/1899,,,14.5,120.8,in manila bay off city manila pi,               manila bay,,,
  06/02/1899,,,,,,,,,
  06/02/1899,,,14.5,120.8,in manila bay off city of manila pi,               manila bay,,,
  07/02/1899,,,,,,,,,
  07/02/1899,,,56.4,-5.5,  anchored off calocan pi,                     oban,manila,14 35N,121 00E
  08/02/1899,,,,,,,,,
  08/02/1899,,,56.4,-5.5,  anchored off calocan pi,                     oban,manila,,
  09/02/1899,,,,,,,,,
  09/02/1899,,,56.4,-5.5,at anchor off colocan and cavite pi,                     oban,cavite city,14 29N,120 54E
  10/02/1899,,,,,,,,,
  10/02/1899,,,,,   anchored off cavite pi,,,,
  11/02/1899,,,,,,,,,
  11/02/1899,,,44.1,15.2,anchored off paranague pi,                     zara,paranaque,14 28N,121 01E
  12/02/1899,,,,,,,,,
  12/02/1899,,,44.1,15.2,anchored off paranague and cavite pi,                     zara,paranaque,,
  13/02/1899,,,,,,,,,
  13/02/1899,,,,,  anchored off cavite p i,,,,
  14/02/1899,,,,,,,,,
  14/02/1899,,,,,  at anchor off cavite pi,,,,
  15/02/1899,,,,,,,,,
  15/02/1899,,,,,   anchored off cavite pi,,,,
  16/02/1899,,,,,,,,,
  16/02/1899,,,,,  anchored off cavite p i,,,,
  17/02/1899,,,,,,,,,
  17/02/1899,,,,,  anchored off cavite p i,,,,
  18/02/1899,,,,,,,,,
  18/02/1899,,,,,   anchored off cavite pi,,,,
  19/02/1899,,,,,,,,,
  19/02/1899,,,,,   anchored off cavite pi,,,,
  20/02/1899,,,,,,,,,
  20/02/1899,,,,,  anchored off cavite p i,,,,
  21/02/1899,,,,,,,,,
  21/02/1899,,,,,  anchored off cavite p i,,,,
  22/02/1899,,,,,,,,,
  22/02/1899,,,,,  anchored off cavite p i,,,,
  23/02/1899,,,,,,,,,
  23/02/1899,,,,,   anchored off cavite pi,,,,
  24/02/1899,,,,,,,,,
  24/02/1899,,,,,   anchored off cavite pi,,,,
  25/02/1899,,,,,,,,,
  25/02/1899,,,30.5,117.1,underway making passage to linayen gulf luzon id,                   anking,lingayen gulf,16 17N,120 12E
  26/02/1899,     16 02,    119 92,60.4,-172.7,at 300 silakwi island abeam distant 33 miles,                    t i c,lingayen gulf,,
  26/02/1899,,,12.8,45,anchored in lingayen gulf luzon island,                     aden,lingayen gulf,,
  27/02/1899,,,,,,,,,
  27/02/1899,,,12.8,45,anchored in lingayen gulf luzon island,                     aden,lingayen gulf,,
  28/02/1899,,,,,,,,,
  28/02/1899,,,12.8,45,      gulf of lingayen pi,                     aden,lingayen gulf,,
  01/03/1899,,,,,,,,,
  01/03/1899,,,12.8,45,      gulf of lingayen pi,                     aden,lingayen gulf,,
  02/03/1899,,,,,,,,,
  02/03/1899,,,14.5,120.8,                   at sea,               manila bay,,,
  03/03/1899,     14 38,    120 08,31.9,118.6,at 745 los frailes abeam dist 3 miles,              duck island,fort drum el fraile island,14 18 18N,120 37 50E
  03/03/1899,,,,,  anchored off cavite p i,,,,
  04/03/1899,,,,,,,,,
  04/03/1899,,,,,                cavite pi,,,,
  05/03/1899,     14 32,    120 63,1.4,104,at midnight log 461 changed course to sw heading through boca grande,                   changi,fort drum el fraile island,,
  05/03/1899,   13 38 N,  121 01 E,,,                   at sea,,,,
  06/03/1899,,,,,,,,,
  06/03/1899,   73 07 N,  121 48 E,,,                   at sea,,,,
  07/03/1899,,,,,,,,,
  07/03/1899,   11 59 N,  122 05 E,,,                   at sea,,,,
  08/03/1899,,,,,,,,,
  08/03/1899,,,59.9,10.8,                iloilo pi,                     oslo,iloilo city,10 43N,122 34E
  09/03/1899,,,,,,,,,
  09/03/1899,,,59.9,10.8,      moored at iloilo pi,                     oslo,iloilo city,,
  10/03/1899,,,,,,,,,
  10/03/1899,,,59.9,10.8,        hoilo philippines,                     oslo,iloilo city,,
  11/03/1899,,,,,,,,,
  11/03/1899,,,59.9,10.8,                lloilo pi,                     oslo,iloilo city,,
  12/03/1899,,,,,,,,,
  12/03/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  13/03/1899,,,,,,,,,
  13/03/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  14/03/1899,,,,,,,,,
  14/03/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  15/03/1899,,,,,,,,,
  15/03/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  16/03/1899,,,,,,,,,
  16/03/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  17/03/1899,,,,,,,,,
  17/03/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  18/03/1899,,,,,,,,,
  18/03/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  19/03/1899,,,,,,,,,
  19/03/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  20/03/1899,,,,,,,,,
  20/03/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  21/03/1899,,,,,,,,,
  21/03/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  22/03/1899,,,,,,,,,
  22/03/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  23/03/1899,,,,,,,,,
  23/03/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  24/03/1899,,,,,,,,,
  24/03/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  25/03/1899,,,,,,,,,
  25/03/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  26/03/1899,,,,,,,,,
  26/03/1899,,,59.9,10.8,                lloilo pi,                     oslo,iloilo city,,
  27/03/1899,,,,,,,,,
  27/03/1899,,,59.9,10.8,                iloilo pi,                     oslo,iloilo city,,
  28/03/1899,,,,,,,,,
  28/03/1899,,,59.9,10.8,                iloilo pi,                     oslo,iloilo city,,
  29/03/1899,,,,,,,,,
  29/03/1899,,,59.9,10.8,                iloilo pi,                     oslo,iloilo city,,
  30/03/1899,,,,,,,,,
  30/03/1899,,,59.9,10.8,                iloilo pi,                     oslo,iloilo city,,
  31/03/1899,,,,,,,,,
  31/03/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  01/04/1899,,,,,,,,,
  01/04/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  02/04/1899,,,,,,,,,
  02/04/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  03/04/1899,,,,,,,,,
  03/04/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  04/04/1899,,,,,,,,,
  04/04/1899,   10 12 N,  122 23 E,59.9,10.8,making passage from lloila to cebu pi,                     oslo,panay gulf,10.2500N,122.2486E
  05/04/1899,,,,,,,,,
  05/04/1899,,,30.5,117.1,making passage from lloila to cebu pi,                   anking,bohol sea,9 23 3N,124 24 24E
  06/04/1899,,,,,,,,,
  06/04/1899,,,,,                  cebu pi,,,,
  07/04/1899,,,,,,,,,
  07/04/1899,   90 30 N,  123 28 E,30.5,117.1,making passage from cebu to hoilo pi,                   anking,bohol sea,,
  08/04/1899,,,,,,,,,
  08/04/1899,,,30.5,117.1,making passage from cebu to hoilo pi,                   anking,panay gulf,,
  09/04/1899,,,,,,,,,
  09/04/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  10/04/1899,,,,,,,,,
  10/04/1899,,,59.9,10.8,                lloilo pi,                     oslo,iloilo city,,
  11/04/1899,,,,,,,,,
  11/04/1899,,,59.9,10.8,                lloilo pi,                     oslo,iloilo city,,
  12/04/1899,,,,,,,,,
  12/04/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  13/04/1899,,,,,,,,,
  13/04/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  14/04/1899,,,,,,,,,
  14/04/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  15/04/1899,,,,,,,,,
  15/04/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  16/04/1899,,,,,,,,,
  16/04/1899,,,59.9,10.8,                 hoilo pi,                     oslo,iloilo city,,
  17/04/1899,,,,,,,,,
  17/04/1899,   10 38 N,  121 52 E,14.6,121,making passage from ilo ilo pi to manila pi,                   manila,sulu sea,8N,120E
  18/04/1899,     10 76,    121 93,36.9,7.8,at end of watch batbatan island bore nbye12e mag dist about 5 miles,                     bone,culasi antique,11 25N,122 04E
  18/04/1899,   13 15 N,  121 27 E,14.6,121,making passage from hoilo to manila pi,                   manila,tayabas bay,13.6271N,121.7750E
  19/04/1899,     13 23,    120 49,35.4,117.1,at end of watch fortune island bore abean dist about 72 miles,              point targa,nasugbu batangas,14 04N,120 38E
  19/04/1899,,,14.6,121,making passage from hoilo to manila pi,                   manila,,,
  20/04/1899,,,,,,,,,
  20/04/1899,,,,,                cavite pi,,,,
  21/04/1899,,,,,,,,,
  21/04/1899,,,,,                cavite pi,,,,
  22/04/1899,,,,,,,,,
  22/04/1899,,,,,                cavite pi,,,,
  23/04/1899,,,,,,,,,
  23/04/1899,,,,,                cavite pi,,,,
  24/04/1899,,,,,,,,,
  24/04/1899,,,,,                cavite pi,,,,
  25/04/1899,,,,,,,,,
  25/04/1899,,,,,                cavite pi,,,,
  26/04/1899,,,,,,,,,
  26/04/1899,,,,,                cavite pi,,,,
  28/04/1899,,,,,,,,,
